,start_station_name,end_station_name,start_lat,start_lng,end_lat,end_lng,trips
1117,5 Ave & E 63 St,5 Ave & E 63 St,40.766368,-73.971518,40.766368,-73.971518,200
4946,Kent Ave & N 7 St,Huron St & Franklin St,40.72036775298455,-73.96165072917938,40.73266,-73.95826,200
5429,Central Park West & W 68 St,Central Park West & W 72 St,40.7734066,-73.97782542,40.77579376683666,-73.9762057363987,199
15470,University Pl & E 8 St,University Pl & E 14 St,40.73143724085228,-73.99490341544151,40.734814,-73.992085,199
35473,Southpoint Park,Southpoint Park,40.75370225419114,-73.95865201950072,40.75370225419114,-73.95865201950072,199
6758,University Pl & E 14 St,University Pl & E 14 St,40.734814,-73.992085,40.734814,-73.992085,198
13492,E 33 St & 1 Ave,6 Ave & W 34 St,40.74322681432173,-73.97449783980846,40.74964,-73.98805,198
32672,Henry St & Grand St,Clinton St & Grand St,40.714211,-73.981095,40.71559509,-73.9870295,198
23377,11 Ave & W 59 St,W 59 St & 10 Ave,40.77149671054441,-73.99046033620834,40.770513,-73.988038,197
3557,Parade Pl & Crooke Ave,Parade Pl & Crooke Ave,40.651847,-73.965248,40.651847,-73.965248,195
23937,W 29 St & 9 Ave,9 Ave & W 22 St,40.7500727,-73.99839279,40.7454973,-74.00197139,193
1279,West St & Liberty St,10 Ave & W 14 St,40.711444,-74.014847,40.74198159994023,-74.00831580162048,193
146496,E 10 St & Avenue A,Ave A & E 14 St,40.72740794,-73.98142006,40.73031071000895,-73.98047178983688,193
5618,Richardson St & N Henry St,Graham Ave & Conselyea St,40.71907891179564,-73.94223690032959,40.715143,-73.944507,193
11296,W 26 St & 10 Ave,W 26 St & 8 Ave,40.749717753,-74.002950346,40.74734825,-73.99723551,193
3619,Riverside Blvd & W 67 St,W 70 St & Amsterdam Ave,40.777507027547976,-73.98888587951659,40.77748046,-73.98288594,192
10550,W 70 St & Amsterdam Ave,W 64 St & Thelonious Monk Circle,40.77748046,-73.98288594,40.77515953434235,-73.98918695747852,192
51973,E 27 St & 1 Ave,E 25 St & 2 Ave,40.739445,-73.976806,40.73912601,-73.97973776,191
26234,West St & Chambers St,West St & Liberty St,40.71754834,-74.01322069,40.711444,-74.014847,191
23415,Columbus Ave & W 72 St,W 63 St & Broadway,40.7770575,-73.97898475,40.77163851,-73.98261428,191
4598,Pier 40 - Hudson River Park,West St & Liberty St,40.7277140777778,-74.01129573583603,40.711444,-74.014847,190
18379,7 Ave & Central Park South,5 Ave & E 87 St,40.7667405590595,-73.9790689945221,40.78232260730881,-73.95987510681152,189
14961,3 Ave & E 62 St,1 Ave & E 68 St,40.76312584,-73.96526895,40.76500525,-73.95818491,189
41254,Wards Meadow Comfort Station,Wards Meadow Comfort Station,40.78294,-73.93077,40.78294,-73.93077,188
12506,Plaza St East & Flatbush Ave,Plaza St East & Flatbush Ave,40.673134,-73.969106,40.673134,-73.969106,188
4243,Vesey Pl & River Terrace,Vesey Pl & River Terrace,40.7153379,-74.01658354,40.7153379,-74.01658354,188
8174,Central Park W & W 91 St,Central Park W & W 91 St,40.78866499127884,-73.96680057048798,40.78866499127884,-73.96680057048798,187
167,Picnic Point,Yankee Ferry Terminal,40.68512559515415,-74.02535319328308,40.68706579875912,-74.01675585121666,187
1030,W 64 St & Thelonious Monk Circle,W 70 St & Amsterdam Ave,40.77515953434235,-73.98918695747852,40.77748046,-73.98288594,187
10084,W 16 St & The High Line,8 Ave & W 16 St,40.74334935,-74.00681753,40.740983,-74.001702,187
26402,Huron St & Franklin St,Kent Ave & N 7 St,40.73266,-73.95826,40.72036775298455,-73.96165072917938,185
4427,Central Park S & 6 Ave,5 Ave & E 78 St,40.76590936,-73.97634151,40.77632142182271,-73.96427392959595,185
1021,Central Park North & Adam Clayton Powell Blvd,7 Ave & Central Park South,40.799484,-73.955613,40.7667405590595,-73.9790689945221,185
7729,W 70 St & Amsterdam Ave,West End Ave & W 60 St,40.77748046,-73.98288594,40.77237,-73.99005,184
1402,3 St & Prospect Park West,3 St & Prospect Park West,40.668132,-73.97363831,40.668132,-73.97363831,184
352,Clinton St & Grand St,Clinton St & Cherry St,40.71559509,-73.9870295,40.711471394469264,-73.98672603070736,183
11586,Center Blvd & 51 Ave,Center Blvd & 51 Ave,40.74336608027021,-73.95960688591003,40.74336608027021,-73.95960688591003,182
14453,Central Park West & W 72 St,5 Ave & E 72 St,40.77579376683666,-73.9762057363987,40.77282817,-73.96685276,182
8912,W 15 St & 6 Ave,W 21 St & 6 Ave,40.738046142482766,-73.99642959237099,40.74173969,-73.99415556,181
139,5 Ave & E 72 St,Central Park West & W 72 St,40.77282817,-73.96685276,40.77579376683666,-73.9762057363987,181
34860,E 40 St & Park Ave,E 33 St & 1 Ave,40.750756,-73.978326,40.74322681432173,-73.97449783980846,180
17190,West St & Chambers St,Christopher St & Greenwich St,40.71754834,-74.01322069,40.73291553,-74.00711384,180
34760,1 Ave & E 16 St,E 23 St & 1 Ave,40.73221853,-73.98165557,40.736502,-73.97809472,180
8880,Kingsland Ave & Nassau Ave,Leonard St & Nassau Ave,40.72577,-73.94173,40.7239567849954,-73.94984364509583,180
